"state, perc_ch"
"Alabama, 3.6 "
"Montana, 5.1"
"Alaska, 8.9"
"Nebraska, 1.8 "
"Arizona, 7.4"
"Nevada, 15.6 "
"Arkansas, 3.1"
"New Hampshire, 1.4 "
"California, 3.7"
"New Jersey, 1.9 "
"Colorado, 8.2"
"New Mexico, 6.7 "
"Connecticut, -0.3 "
"New York, 1.1"
"Delaware, 5.1"
"North Carolina, 4.8 "
"Florida, 5.7"
"North Dakota, -0.6 "
"Georgia, 6.8 "
"Ohio, 2.3"
"Hawaii, 5.7"
"Oklahoma, 2.7 "
"Idaho, 9.2 "
"Oregon, 6.7"
"Illinois, 2.3"
"Pennsylvania, 1.4 "
"Indiana, 3.0"
"Rhode Island, -0.3 "
"Iowa, 1.3 "
"South Carolina, 4.5"
"Kansas, 2.1 "
"South Dakota, 2.8"
"Kentucky, 2.8"
"Tennessee, 4.5 "
"Louisiana, 1.9"
"Texas, 6.2 "
"Maine, 0.9"
"Utah, 7.9 "
"Maryland, 3.8 "
"Vermont, 2.3"
"Massachusetts, -0.1"
"Virginia, 4.9 "
"Michigan, 2.0"
"Washington, 8.0 "
"Minnesota, 3.3"
"West Virginia, 1.5 "
"Mississippi, 2.7 "
"Wisconsin, 3.0"
"Missouri, 2.3"
"Wyoming, 3.7 "