state,abbr,population
Alabama,AL,5193088
 Alaska,AK,737270
 Arizona,AZ,7623818
 Arkansas,AR,3114791
 California,CA,39355309
 Colorado,CO,6012561
 Connecticut,CT,3688496
 Delaware,DE,1059952
 District of Columbia,DC,693645
 Florida,FL,23462518
 Georgia,GA,11302748
 Hawaii,HI,1432820
 Idaho,ID,2029733
 Illinois,IL,12719141
 Indiana,IN,6973333
 Iowa,IA,3238387
 Kansas,KS,2977220
 Kentucky,KY,4606864
 Louisiana,LA,4618189
 Maine,ME,1414874
 Maryland,MD,6265347
 Massachusetts,MA,7154084
 Michigan,MI,10127884
 Minnesota,MN,5830405
 Mississippi,MS,2954160
 Missouri,MO,6270541
 Montana,MT,1144694
 Nebraska,NE,2018006
 Nevada,NV,3282188
 New Hampshire,NH,1415342
 New Jersey,NJ,9548215
 New Mexico,NM,2125498
 New York,NY,20002427
 North Carolina,NC,11197968
 North Dakota,ND,799358
 Ohio,OH,11900510
 Oklahoma,OK,4123288
 Oregon,OR,4273586
 Pennsylvania,PA,13059432
 Rhode Island,RI,1114521
 South Carolina,SC,5570274
 South Dakota,SD,935094
 Tennessee,TN,7315076
 Texas,TX,31709821
 Utah,UT,3538904
 Vermont,VT,644663
 Virginia,VA,8880107
 Washington,WA,8001020
 West Virginia,WV,1766147
 Wisconsin,WI,5972787
 Wyoming,WY,588753